Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,new environment,Dehydrated,had sex,Florinef,slept not alone,had sex last night,BLT,singing,ate breakfast,Solifenacin,Darifenacin,Probiotic,digestive enzyme,travel,Ribose,Monteluklast,slept lots,Socialising,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,slept late,Piyo,exercise,A little stressed,shopping,SAM-E,very active aqua class,Superlong nap,Cider,TigerBalm,Rather bad sleep,busy,scary new shit,Social,worked,Friends,day at home,Cetraben cream,caught pokemon,Much sex,long shopping  trip,Cinema,Guarana & Ginseng,studied,went to bed too late,Ginger,Work hard,Hydrocortisone,Vitamin b12,walked,Cerelle,Passionflower,Singing,row
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,worked
2.0,,,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,0.0,2.0,,,0.0,,0.0,,0.0,2.0,,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Friends
0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,0.0,2.0,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.0,,day at home
2.0,,,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,,,,0.0,,0.0,2.0,,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Cetraben cream
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caught pokemon
2.0,,,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,,0.0,,,,0.0,2.0,,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Much sex
0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,0.0,2.0,,,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,long shopping  trip
2.0,,,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,,0.0,,0.0,,,2.0,,0.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,Cinema
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,Guarana & Ginseng
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,studied
2.0,,,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,2.0,,,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,went to bed too late
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,,2.0,,0.0,0.0,0.0,0.0,0.0,Ginger
2.0,,,,,2.0,,0.0,,,0.0,0.0,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,2.0,,0.0,2.0,,,2.0,2.0,2.0,2.0,2.0,Work hard
0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,0.0,2.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,0.0,,Hydrocortisone
0.0161256288024,0.0,0.0,0.0,0.0,1.93963389737,,2.0,,0.0,2.0,2.0,,0.0,0.0112151757326,0.955585273947,0.0,-2.22044604925e-16,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0017957623133,2.0,0.0,0.0,1.89491178276,0.0,,0.0,2.0,2.0,1.38639604276,0.0,0.0,2.0,0.0,0.0,,0.716816605975,1.04493352934,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,,0.0,0.0,-2.22044604925e-16,0.0,Vitamin b12
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,,0.0,0.0,0.0,walked
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,0.0,,0.0,0.0,Cerelle
0.0161256288024,0.0,0.0,0.0,0.0,1.93963389737,,2.0,,0.0,2.0,2.0,,0.0,0.0112151757326,0.955585273947,0.0,-2.22044604925e-16,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0017957623133,2.0,0.0,0.0,1.89491178276,0.0,,0.0,2.0,2.0,1.38639604276,0.0,0.0,2.0,0.0,0.0,,0.716816605975,1.04493352934,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,-2.22044604925e-16,0.0,0.0,,0.0,Passionflower
0.0,,,,,0.0,,2.0,,,2.0,2.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,2.0,,2.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,0.0,,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,,Singing
