Triamcinolone,didn't really eat lunch,studied,Ritalin,hiking,allergy shot,Social,Cyclizine,hot,Caffeine,made challah,vacation,Dehydrated,walked,slept not alone,slept lots,Work hard,singing,worked,ate breakfast,Solifenacin,Socialising,tumblr,Darifenacin,Probiotic,good breakfast,travel,cooking,Ribose,Monteluklast,gluten ,sugar,vitamin D tablets,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,Friends,had sex last night,exercise,long sleep,gaming,shopping,gluten,SAM-E,sitting,Cider,Superlong nap,coursera,scary new shit,marijuana,weekend shopping,went to bed too late,busy,day after weights,House cleaning,Amitryptiline,bunny cuddles,got stuff done,ramen,Breakfast,Cetraben cream,church,heavy lifting,slept in,salad,healthy dinner,Guarana & Ginseng,restaurant,Ginger,Much sex,shower,cooked,Vitamin b12,Cabergoline,magnesium ionic,Cerelle,Meditation,Passionflower,Singing,Trip,Cinema,row
,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.00239488488687,,0.0,,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0419878427904,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,,,2.0,,,,2.0,,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,busy
,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,2.0,,,,,,,2.0,,,,,0.0,,day after weights
,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,2.0,,,,,,,2.0,,,,,0.0,,House cleaning
,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,Amitryptiline
2.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,bunny cuddles
,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,2.0,,got stuff done
2.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,ramen
,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,Breakfast
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,0.0,,0.0,0.0,,2.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,,,,,,0.0,,0.0,2.0,,2.0,,,2.0,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,Cetraben cream
2.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,church
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy lifting
,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,slept in
,,,,0.0,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,salad
