Wear shoulder brace,didn't really eat lunch,napped well,grapes,Buteyko  breathing exercises ,More stretching,allergy shot,fast food,3 drinks,marijuana,Protecting back,had sex,walked,Lying flat,Miralax low dose at night,Woke Up With Alarm,drank alcohol,breakfast,Better sleep,fuck yeah avocado,took a bath ,ate breakfast,haircut,washing up,busy,cooked breakfast,Zofran,Hydroxyzine,vacation,gluten free,bed day,nap,dairy,dairy free,party,Ambien CR,banana,exercise,ate red meat,cuddled kitten,Oxynorm,Slept well,gluten,coconut,Weighted Blanket,Superlong nap,read science book,had sex ,blowjob,listen to music ,heating pads,Norco,very little sleep,heavy physcial exertion,Late lunch,mass transit,read book,grains,Freezie wrap,didn't eat breakfast,no breakfast,ate grains,studied,cuddles!,Awesome cheat day,had sex last night,12K Steps,new environment,bed late,butternut squash risotto,Poor sleep (hotel),cocodamol,ate at a restaurant,drawing,short nap,row
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,,2.0,2.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,very little sleep
2.0,,2.0,,,2.0,,,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,,,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,,0.0,2.0,0.0,,2.0,,,,,,2.0,2.0,2.0,2.0,,0.0,2.0,,,2.0,,2.0,,2.0,,,,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,heavy physcial exertion
2.0,,2.0,,,2.0,,,2.0,,0.0,,0.0,2.0,0.0,2.0,0.0,,2.0,,,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,,0.0,2.0,0.0,,2.0,,,,,,2.0,2.0,2.0,2.0,0.0,,2.0,,,2.0,,2.0,,2.0,,,,,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,Late lunch
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,,,,0.0,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,mass transit
,,,,2.0,,0.0,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,read book
,,,,2.0,,0.0,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,grains
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,Freezie wrap
,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,,2.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,didn't eat breakfast
0.0,,0.0,,,0.0,,,0.0,,2.0,,2.0,0.0,2.0,0.0,2.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,2.0,0.0,2.0,,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,no breakfast
,,,,2.0,,0.0,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,0.0,,,ate grains
